PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/25/18 19:00,PLMN,N115,99.9996,99.8768,99.8249,99.8656,99.3886,99.9777,98.692,1460.3801,139.5788,790.4094,2.3367,2.9159,0.3039,0.4663,0.4708,0.4137,4237.6007,261.3817,100,3.2878,0.1621,0.078,1.1575,0.28
2/25/18 19:00,PLMN,N116,99.8985,97.3137,98.8,99.0525,98.4561,99.7947,97.2107,768.3929,181.3431,902.7013,6.6091,7.9461,0.4854,2.1306,1.325,1.3312,3897.7729,479.116,99.5392,3.6943,0.2353,0.1562,1.5247,1.05
2/25/18 19:00,PLMN,N117,100,99.8597,99.783,99.8328,98.9913,99.9689,98.0952,957.1175,141.7897,748.9381,3.226,4.0119,0.3339,0.6632,0.4857,0.4438,4389.3443,322.7094,100,5.0573,0.0934,0.0482,0.1988,0.36
2/25/18 19:00,PLMN,N118,99.9994,99.8071,99.6121,99.6254,98.9267,99.937,95.6522,1180.6834,213.7112,1011.3047,6.1897,7.5197,0.4086,1.1548,0.6317,0.545,3639.7073,392.7489,100,3.3355,0.1425,0.1037,0.487,0.56
2/25/18 19:00,PLMN,N119,100,99.7557,99.7138,99.7825,99.0146,99.9686,83.3935,835.5609,161.5755,895.371,5.9347,7.1081,0.4916,1.0158,0.5673,0.4973,4205.5906,441.7927,100,3.1677,0.1515,0.0879,3.8197,0.47
2/25/18 19:00,PLMN,N120,100,99.8571,99.7749,99.8304,98.9435,99.9746,97.7707,785.933,132.4688,853.3083,4.7438,5.8267,0.3844,0.7803,0.4879,0.4196,4443.899,391.6743,100,3.7984,0.1331,0.0667,1.1175,0.41
2/25/18 19:00,PLMN,N121,100,99.8496,99.7651,99.8214,99.2221,99.9634,98.1229,1058.3762,142.6437,844.3784,2.9258,3.5995,0.3444,0.7495,0.5389,0.4886,4284.3024,284.9561,100,3.6748,0.124,0.0641,2.3699,0.4
2/25/18 19:00,PLMN,N122,99.9989,99.8396,99.8613,99.8915,99.1244,99.9818,95.6522,1025.8395,123.3448,674.86,3.0256,3.8471,0.2975,0.5281,0.3957,0.3416,4215.9664,282.2695,100,2.7397,0.1156,0.0495,0.2338,0.3
2/25/18 19:00,PLMN,N123,99.9994,99.7574,99.7288,99.7912,98.9443,99.9645,95.2206,731.2521,144.8044,824.0166,5.3248,6.4401,0.4651,0.8848,0.5239,0.47,4255.5758,412.3334,99.6255,3.1592,0.1363,0.0727,3.1366,0.49
2/25/18 19:00,PLMN,N124,100,99.7119,99.5461,99.6313,98.8892,99.9443,95.8525,1255.3083,217.8761,1131.3737,5.7759,7.0004,0.5143,1.1408,0.6321,0.5903,3851.1933,400.1155,100,1.9569,0.6023,0.6157,1.5818,0.56
